2026-06-28 09:10:10 | === run 'gptbert_small_v1' | device=mps | config=small (33.0M params) ===
2026-06-28 09:10:10 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-28 09:10:10 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-28 09:10:10 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/train.log
2026-06-28 10:24:20 |   >> saved checkpoint chck_10M at 10.01M words
2026-06-28 10:24:34 | [1:14:23] [##----------------------]  10.1% | step   1000/9860 | ep 1 | masked | loss  3.491 | lr 4.92e-04 |  10.04M words |  3672 tok/s | ETA 10:59:02
2026-06-28 10:26:03 | [1:15:52] [##----------------------]  10.3% | step   1020/9860 | ep 1 | masked | loss  3.594 | lr 4.91e-04 |  10.24M words |  3672 tok/s | ETA 10:57:31
2026-06-28 10:27:31 | [1:17:21] [##----------------------]  10.5% | step   1040/9860 | ep 1 | masked | loss  3.755 | lr 4.91e-04 |  10.44M words |  3672 tok/s | ETA 10:55:59
2026-06-28 10:29:01 | [1:18:50] [##----------------------]  10.8% | step   1060/9860 | ep 1 | causal | loss  4.543 | lr 4.90e-04 |  10.64M words |  3672 tok/s | ETA 10:54:29
2026-06-28 10:30:30 | [1:20:19] [##----------------------]  11.0% | step   1080/9860 | ep 1 | causal | loss  4.304 | lr 4.90e-04 |  10.84M words |  3672 tok/s | ETA 10:53:00
2026-06-28 10:32:00 | [1:21:49] [##----------------------]  11.2% | step   1100/9860 | ep 1 | causal | loss  4.154 | lr 4.89e-04 |  11.04M words |  3672 tok/s | ETA 10:51:34
2026-06-28 10:33:29 | [1:23:18] [##----------------------]  11.4% | step   1120/9860 | ep 1 | masked | loss  3.553 | lr 4.89e-04 |  11.24M words |  3672 tok/s | ETA 10:50:04
2026-06-28 10:34:58 | [1:24:47] [##----------------------]  11.6% | step   1140/9860 | ep 1 | masked | loss  2.964 | lr 4.88e-04 |  11.44M words |  3672 tok/s | ETA 10:48:33
2026-06-28 10:36:27 | [1:26:16] [##----------------------]  11.8% | step   1160/9860 | ep 1 | masked | loss  3.388 | lr 4.88e-04 |  11.64M words |  3672 tok/s | ETA 10:47:03
2026-06-28 10:37:56 | [1:27:45] [##----------------------]  12.0% | step   1180/9860 | ep 1 | masked | loss  3.367 | lr 4.87e-04 |  11.84M words |  3672 tok/s | ETA 10:45:33
2026-06-28 10:39:25 | [1:29:14] [##----------------------]  12.2% | step   1200/9860 | ep 1 | masked | loss  3.076 | lr 4.87e-04 |  12.05M words |  3672 tok/s | ETA 10:44:03
2026-06-28 10:40:54 | [1:30:43] [##----------------------]  12.4% | step   1220/9860 | ep 1 | masked | loss  3.314 | lr 4.86e-04 |  12.25M words |  3673 tok/s | ETA 10:42:29
2026-06-28 10:42:23 | [1:32:12] [###---------------------]  12.6% | step   1240/9860 | ep 1 | masked | loss  3.486 | lr 4.86e-04 |  12.45M words |  3673 tok/s | ETA 10:40:59
