2026-07-05 21:43:56 | === MP-DPO 'gptbert_small_dpo_s43' | device=mps ===
2026-07-05 21:43:56 | init=/Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/chck_70M
2026-07-05 21:43:56 | ref =/Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/chck_70M (frozen)
2026-07-05 21:43:56 | steps=1500 pairs/step=16 beta=0.1 lr=1e-05 mle_mix=0.5@1.0 | ckpt every 250
2026-07-05 21:49:57 | [0:06:00] step   410/1500 | dpo 0.6755 | pref-acc 0.794 | mle  2.640 | margin +0.71 | lr 8.70e-06 | 0.371M words | ETA 0:15:57
2026-07-05 21:50:03 | [0:06:06] step   420/1500 | dpo 0.5855 | pref-acc 0.738 | mle    nan | margin +2.95 | lr 8.62e-06 | 0.376M words | ETA 0:15:42
2026-07-05 21:50:11 | [0:06:14] step   430/1500 | dpo 0.6148 | pref-acc 0.806 | mle    nan | margin +2.11 | lr 8.55e-06 | 0.384M words | ETA 0:15:31
2026-07-05 21:50:20 | [0:06:22] step   440/1500 | dpo 0.6168 | pref-acc 0.781 | mle    nan | margin +1.83 | lr 8.47e-06 | 0.393M words | ETA 0:15:22
2026-07-05 21:50:29 | [0:06:32] step   450/1500 | dpo 0.5135 | pref-acc 0.787 | mle    nan | margin +4.93 | lr 8.39e-06 | 0.403M words | ETA 0:15:15
2026-07-05 21:50:35 | [0:06:38] step   460/1500 | dpo 0.5591 | pref-acc 0.806 | mle  2.151 | margin +3.41 | lr 8.30e-06 | 0.408M words | ETA 0:15:00
2026-07-05 21:50:43 | [0:06:46] step   470/1500 | dpo 0.5815 | pref-acc 0.762 | mle  2.253 | margin +3.11 | lr 8.22e-06 | 0.415M words | ETA 0:14:50
2026-07-05 21:50:51 | [0:06:54] step   480/1500 | dpo 0.5616 | pref-acc 0.775 | mle    nan | margin +3.38 | lr 8.14e-06 | 0.424M words | ETA 0:14:41
2026-07-05 21:50:58 | [0:07:01] step   490/1500 | dpo 0.4636 | pref-acc 0.775 | mle  3.013 | margin +6.09 | lr 8.05e-06 | 0.431M words | ETA 0:14:29
2026-07-05 21:51:07 | [0:07:10] step   500/1500 | dpo 0.6113 | pref-acc 0.762 | mle  2.285 | margin +2.29 | lr 7.96e-06 | 0.440M words | ETA 0:14:20
2026-07-05 21:51:07 |   >> saved chck_dpo_500
2026-07-05 21:51:18 | [0:07:21] step   510/1500 | dpo 0.5144 | pref-acc 0.762 | mle  2.584 | margin +4.83 | lr 7.87e-06 | 0.451M words | ETA 0:14:16
2026-07-05 21:51:28 | [0:07:31] step   520/1500 | dpo 0.6658 | pref-acc 0.787 | mle  2.030 | margin +1.20 | lr 7.78e-06 | 0.462M words | ETA 0:14:11
2026-07-05 21:51:38 | [0:07:41] step   530/1500 | dpo 0.6019 | pref-acc 0.713 | mle  2.292 | margin +2.73 | lr 7.69e-06 | 0.473M words | ETA 0:14:03
2026-07-05 21:51:45 | [0:07:48] step   540/1500 | dpo 0.5486 | pref-acc 0.825 | mle    nan | margin +3.51 | lr 7.59e-06 | 0.479M words | ETA 0:13:52
2026-07-05 21:51:52 | [0:07:55] step   550/1500 | dpo 0.5299 | pref-acc 0.838 | mle    nan | margin +4.04 | lr 7.50e-06 | 0.486M words | ETA 0:13:40
2026-07-05 21:52:01 | [0:08:03] step   560/1500 | dpo 0.6457 | pref-acc 0.744 | mle  2.751 | margin +1.42 | lr 7.40e-06 | 0.495M words | ETA 0:13:32
2026-07-05 21:52:09 | [0:08:12] step   570/1500 | dpo 0.5704 | pref-acc 0.856 | mle    nan | margin +3.16 | lr 7.31e-06 | 0.503M words | ETA 0:13:23
2026-07-05 21:52:16 | [0:08:19] step   580/1500 | dpo 0.5598 | pref-acc 0.800 | mle    nan | margin +3.43 | lr 7.21e-06 | 0.510M words | ETA 0:13:12
2026-07-05 21:52:25 | [0:08:28] step   590/1500 | dpo 0.5440 | pref-acc 0.775 | mle    nan | margin +3.90 | lr 7.11e-06 | 0.519M words | ETA 0:13:03
2026-07-05 21:52:34 | [0:08:37] step   600/1500 | dpo 0.5835 | pref-acc 0.787 | mle  2.068 | margin +2.89 | lr 7.01e-06 | 0.529M words | ETA 0:12:56
2026-07-05 21:52:43 | [0:08:46] step   610/1500 | dpo 0.6044 | pref-acc 0.781 | mle    nan | margin +2.34 | lr 6.91e-06 | 0.538M words | ETA 0:12:47
2026-07-05 21:52:50 | [0:08:53] step   620/1500 | dpo 0.6495 | pref-acc 0.794 | mle  1.780 | margin +1.52 | lr 6.80e-06 | 0.544M words | ETA 0:12:36
2026-07-05 21:53:01 | [0:09:04] step   630/1500 | dpo 0.4622 | pref-acc 0.831 | mle  1.922 | margin +5.46 | lr 6.70e-06 | 0.557M words | ETA 0:12:31
2026-07-05 21:53:10 | [0:09:13] step   640/1500 | dpo 0.5700 | pref-acc 0.800 | mle  2.050 | margin +3.77 | lr 6.60e-06 | 0.567M words | ETA 0:12:24
2026-07-05 21:53:17 | [0:09:20] step   650/1500 | dpo 0.5869 | pref-acc 0.787 | mle  2.105 | margin +2.75 | lr 6.49e-06 | 0.573M words | ETA 0:12:13
2026-07-05 21:53:27 | [0:09:30] step   660/1500 | dpo 0.5575 | pref-acc 0.787 | mle    nan | margin +3.50 | lr 6.39e-06 | 0.583M words | ETA 0:12:05
2026-07-05 21:53:35 | [0:09:38] step   670/1500 | dpo 0.5370 | pref-acc 0.819 | mle    nan | margin +4.60 | lr 6.28e-06 | 0.591M words | ETA 0:11:56
2026-07-05 21:53:43 | [0:09:46] step   680/1500 | dpo 0.5663 | pref-acc 0.787 | mle    nan | margin +3.15 | lr 6.17e-06 | 0.600M words | ETA 0:11:47
2026-07-05 21:53:51 | [0:09:54] step   690/1500 | dpo 0.5671 | pref-acc 0.800 | mle    nan | margin +3.32 | lr 6.07e-06 | 0.606M words | ETA 0:11:37
2026-07-05 21:53:59 | [0:10:02] step   700/1500 | dpo 0.6082 | pref-acc 0.838 | mle    nan | margin +2.51 | lr 5.96e-06 | 0.615M words | ETA 0:11:28
2026-07-05 21:54:11 | [0:10:13] step   710/1500 | dpo 0.5143 | pref-acc 0.775 | mle    nan | margin +4.76 | lr 5.85e-06 | 0.628M words | ETA 0:11:23
2026-07-05 21:54:22 | [0:10:25] step   720/1500 | dpo 0.5139 | pref-acc 0.825 | mle  2.109 | margin +4.37 | lr 5.74e-06 | 0.642M words | ETA 0:11:17
2026-07-05 21:54:31 | [0:10:34] step   730/1500 | dpo 0.5566 | pref-acc 0.787 | mle    nan | margin +3.17 | lr 5.63e-06 | 0.651M words | ETA 0:11:09
2026-07-05 21:54:38 | [0:10:41] step   740/1500 | dpo 0.4979 | pref-acc 0.787 | mle    nan | margin +5.25 | lr 5.52e-06 | 0.657M words | ETA 0:10:58
2026-07-05 21:54:46 | [0:10:49] step   750/1500 | dpo 0.5849 | pref-acc 0.750 | mle  2.576 | margin +2.95 | lr 5.41e-06 | 0.665M words | ETA 0:10:49
2026-07-05 21:54:47 |   >> saved chck_dpo_750
2026-07-05 21:54:54 | [0:10:57] step   760/1500 | dpo 0.5331 | pref-acc 0.756 | mle  2.049 | margin +4.11 | lr 5.30e-06 | 0.671M words | ETA 0:10:39
2026-07-05 21:55:02 | [0:11:05] step   770/1500 | dpo 0.5955 | pref-acc 0.738 | mle  2.410 | margin +2.91 | lr 5.19e-06 | 0.680M words | ETA 0:10:31
2026-07-05 21:55:11 | [0:11:14] step   780/1500 | dpo 0.4783 | pref-acc 0.831 | mle    nan | margin +5.35 | lr 5.08e-06 | 0.688M words | ETA 0:10:22
2026-07-05 21:55:21 | [0:11:24] step   790/1500 | dpo 0.4539 | pref-acc 0.825 | mle    nan | margin +6.45 | lr 4.97e-06 | 0.699M words | ETA 0:10:14
2026-07-05 21:55:30 | [0:11:33] step   800/1500 | dpo 0.5196 | pref-acc 0.750 | mle    nan | margin +4.13 | lr 4.86e-06 | 0.709M words | ETA 0:10:07
2026-07-05 21:55:41 | [0:11:44] step   810/1500 | dpo 0.4549 | pref-acc 0.844 | mle  1.870 | margin +6.29 | lr 4.75e-06 | 0.720M words | ETA 0:09:59
2026-07-05 21:55:49 | [0:11:52] step   820/1500 | dpo 0.4541 | pref-acc 0.744 | mle    nan | margin +6.64 | lr 4.64e-06 | 0.728M words | ETA 0:09:50
2026-07-05 21:55:59 | [0:12:02] step   830/1500 | dpo 0.4775 | pref-acc 0.825 | mle    nan | margin +5.91 | lr 4.53e-06 | 0.738M words | ETA 0:09:42
2026-07-05 21:56:07 | [0:12:10] step   840/1500 | dpo 0.4558 | pref-acc 0.787 | mle    nan | margin +5.78 | lr 4.42e-06 | 0.747M words | ETA 0:09:33
2026-07-05 21:56:16 | [0:12:19] step   850/1500 | dpo 0.5272 | pref-acc 0.831 | mle  1.895 | margin +4.68 | lr 4.31e-06 | 0.756M words | ETA 0:09:25
2026-07-05 21:56:24 | [0:12:27] step   860/1500 | dpo 0.5497 | pref-acc 0.794 | mle    nan | margin +3.95 | lr 4.20e-06 | 0.763M words | ETA 0:09:15
2026-07-05 21:56:31 | [0:12:34] step   870/1500 | dpo 0.5266 | pref-acc 0.844 | mle    nan | margin +4.77 | lr 4.10e-06 | 0.771M words | ETA 0:09:06
