2026-06-30 01:12:01 | === run 'gptbert_small_contrastive_v1' | device=mps | config=small (33.0M params) ===
2026-06-30 01:12:01 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-30 01:12:01 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-30 01:12:01 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_contrastive_v1/train.log
2026-06-30 01:12:01 | CONTRASTIVE ON | 834,593 sentences | cw=0.5 n_neg=2 c_bs=16 temp=1.0 norm=False | 120 function-word ids
2026-06-30 02:22:55 | [1:10:53] [##----------------------]   8.7% | step    860/9860 | ep 0 | masked | loss  4.795 | closs  0.228 | lr 4.94e-04 |   8.63M words |  3312 tok/s | ETA 12:21:57
2026-06-30 02:24:34 | [1:12:32] [##----------------------]   8.9% | step    880/9860 | ep 0 | masked | loss  4.540 | closs  0.194 | lr 4.94e-04 |   8.83M words |  3313 tok/s | ETA 12:20:15
2026-06-30 02:25:57 |   >> saved checkpoint chck_9M at 9.00M words
2026-06-30 02:26:12 | [1:14:11] [##----------------------]   9.1% | step    900/9860 | ep 0 | masked | loss  4.842 | closs  0.479 | lr 4.93e-04 |   9.03M words |  3313 tok/s | ETA 12:18:33
2026-06-30 02:27:51 | [1:15:49] [##----------------------]   9.3% | step    920/9860 | ep 0 | masked | loss  4.725 | closs  0.382 | lr 4.93e-04 |   9.23M words |  3313 tok/s | ETA 12:16:49
2026-06-30 02:29:29 | [1:17:28] [##----------------------]   9.5% | step    940/9860 | ep 0 | masked | loss  4.457 | closs  0.529 | lr 4.93e-04 |   9.43M words |  3313 tok/s | ETA 12:15:09
2026-06-30 02:31:08 | [1:19:06] [##----------------------]   9.7% | step    960/9860 | ep 0 | masked | loss  4.017 | closs  0.600 | lr 4.92e-04 |   9.63M words |  3314 tok/s | ETA 12:13:24
2026-06-30 02:32:47 | [1:20:45] [##----------------------]   9.9% | step    980/9860 | ep 0 | masked | loss  3.912 | closs  0.646 | lr 4.92e-04 |   9.84M words |  3314 tok/s | ETA 12:11:46
2026-06-30 02:34:11 |   >> saved checkpoint chck_10M at 10.01M words
2026-06-30 02:34:26 | [1:22:25] [##----------------------]  10.1% | step   1000/9860 | ep 1 | masked | loss  4.528 | closs  0.473 | lr 4.92e-04 |  10.04M words |  3314 tok/s | ETA 12:10:14
