2026-07-02 17:07:38 | === run 'gptbert_small_slm_v1' | device=mps | config=small (33.0M params) ===
2026-07-02 17:07:38 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-02 17:07:38 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-07-02 17:07:38 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_slm_v1/train.log
2026-07-02 17:07:38 | optimizer: AdamW (lr=0.0005)
2026-07-02 17:07:38 | SLM ON | ref=/Users/admin1/Downloads/babylm-eval/data/processed/ref_nll_final.pt | keep top 60% of tokens by excess loss (mean scored ref NLL 3.285)
2026-07-02 19:24:13 | [2:16:34] [####--------------------]  18.3% | step   1800/9860 | ep 1 | masked | loss  3.627 | all  3.376 | lr 4.67e-04 |  18.07M words |  3599 tok/s | ETA 10:11:34
2026-07-02 19:25:44 | [2:18:05] [####--------------------]  18.5% | step   1820/9860 | ep 1 | masked | loss  4.045 | all  3.630 | lr 4.66e-04 |  18.27M words |  3599 tok/s | ETA 10:10:03
2026-07-02 19:27:14 | [2:19:36] [####--------------------]  18.7% | step   1840/9860 | ep 1 | masked | loss  3.276 | all  3.085 | lr 4.65e-04 |  18.47M words |  3599 tok/s | ETA 10:08:30
2026-07-02 19:28:44 | [2:21:06] [####--------------------]  18.9% | step   1860/9860 | ep 1 | masked | loss  2.913 | all  2.818 | lr 4.64e-04 |  18.67M words |  3600 tok/s | ETA 10:06:53
2026-07-02 19:30:15 | [2:22:36] [####--------------------]  19.1% | step   1880/9860 | ep 1 | masked | loss  3.733 | all  3.482 | lr 4.64e-04 |  18.87M words |  3600 tok/s | ETA 10:05:21
2026-07-02 19:31:45 | [2:24:07] [####--------------------]  19.3% | step   1900/9860 | ep 1 | causal | loss  4.706 | all  3.909 | lr 4.63e-04 |  19.07M words |  3601 tok/s | ETA 10:03:46
2026-07-02 19:33:15 | [2:25:37] [####--------------------]  19.5% | step   1920/9860 | ep 1 | masked | loss  3.569 | all  3.347 | lr 4.62e-04 |  19.27M words |  3601 tok/s | ETA 10:02:11
2026-07-02 19:34:46 | [2:27:08] [####--------------------]  19.7% | step   1940/9860 | ep 1 | masked | loss  3.744 | all  3.490 | lr 4.61e-04 |  19.47M words |  3601 tok/s | ETA 10:00:40
2026-07-02 19:36:17 | [2:28:39] [####--------------------]  19.9% | step   1960/9860 | ep 1 | masked | loss  3.208 | all  2.981 | lr 4.60e-04 |  19.67M words |  3601 tok/s | ETA 9:59:10
2026-07-02 19:37:49 | [2:30:11] [####--------------------]  20.1% | step   1980/9860 | ep 2 | causal | loss  4.704 | all  3.952 | lr 4.59e-04 |  19.88M words |  3601 tok/s | ETA 9:57:44
2026-07-02 19:38:50 |   >> saved checkpoint chck_20M at 20.01M words
2026-07-02 19:39:23 | [2:31:45] [####--------------------]  20.3% | step   2000/9860 | ep 2 | masked | loss  3.591 | all  3.339 | lr 4.58e-04 |  20.08M words |  3600 tok/s | ETA 9:56:23
2026-07-02 19:40:54 | [2:33:16] [####--------------------]  20.5% | step   2020/9860 | ep 2 | masked | loss  3.464 | all  3.111 | lr 4.57e-04 |  20.28M words |  3600 tok/s | ETA 9:54:52
2026-07-02 19:42:24 | [2:34:46] [####--------------------]  20.7% | step   2040/9860 | ep 2 | masked | loss  3.526 | all  3.260 | lr 4.56e-04 |  20.48M words |  3600 tok/s | ETA 9:53:17
2026-07-02 19:43:53 | [2:36:15] [#####-------------------]  20.9% | step   2060/9860 | ep 2 | masked | loss  3.561 | all  3.324 | lr 4.56e-04 |  20.68M words |  3601 tok/s | ETA 9:51:39
2026-07-02 19:45:23 | [2:37:44] [#####-------------------]  21.1% | step   2080/9860 | ep 2 | causal | loss  4.331 | all  3.635 | lr 4.55e-04 |  20.88M words |  3601 tok/s | ETA 9:50:01
2026-07-02 19:46:52 | [2:39:13] [#####-------------------]  21.3% | step   2100/9860 | ep 2 | masked | loss  3.765 | all  3.533 | lr 4.54e-04 |  21.08M words |  3602 tok/s | ETA 9:48:23
2026-07-02 19:48:22 | [2:40:44] [#####-------------------]  21.5% | step   2120/9860 | ep 2 | masked | loss  3.482 | all  3.194 | lr 4.53e-04 |  21.28M words |  3602 tok/s | ETA 9:46:50
2026-07-02 19:49:52 | [2:42:14] [#####-------------------]  21.7% | step   2140/9860 | ep 2 | masked | loss  3.154 | all  2.968 | lr 4.52e-04 |  21.48M words |  3603 tok/s | ETA 9:45:16
2026-07-02 19:51:22 | [2:43:43] [#####-------------------]  21.9% | step   2160/9860 | ep 2 | masked | loss  3.420 | all  3.246 | lr 4.51e-04 |  21.68M words |  3603 tok/s | ETA 9:43:40
