2026-07-03 09:41:07 | === run 'gptbert_small_uni8k_v1' | device=mps | config=small (29.9M params) ===
2026-07-03 09:41:07 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-03 09:41:07 | blocks/epoch=113,635 | steps/epoch=887 | max_steps=8,870 | ~147M tokens over 10 epochs
2026-07-03 09:41:07 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_uni8k_v1/train.log
2026-07-03 09:41:07 | optimizer: AdamW (lr=0.0005)
2026-07-03 10:49:01 | [1:07:53] [##----------------------]  10.8% | step    960/8870 | ep 1 | masked | loss  4.147 | lr 4.90e-04 |  10.71M words |  3864 tok/s | ETA 9:19:25
2026-07-03 10:50:26 | [1:09:18] [##----------------------]  11.0% | step    980/8870 | ep 1 | masked | loss  4.065 | lr 4.90e-04 |  10.94M words |  3864 tok/s | ETA 9:18:02
2026-07-03 10:51:51 | [1:10:43] [##----------------------]  11.3% | step   1000/8870 | ep 1 | masked | loss  4.147 | lr 4.89e-04 |  11.16M words |  3864 tok/s | ETA 9:16:38
2026-07-03 10:53:15 | [1:12:08] [##----------------------]  11.5% | step   1020/8870 | ep 1 | masked | loss  3.785 | lr 4.88e-04 |  11.38M words |  3864 tok/s | ETA 9:15:11
2026-07-03 10:54:40 | [1:13:33] [##----------------------]  11.7% | step   1040/8870 | ep 1 | masked | loss  3.973 | lr 4.88e-04 |  11.61M words |  3864 tok/s | ETA 9:13:47
2026-07-03 10:56:06 | [1:14:58] [##----------------------]  12.0% | step   1060/8870 | ep 1 | masked | loss  3.831 | lr 4.87e-04 |  11.83M words |  3863 tok/s | ETA 9:12:24
2026-07-03 10:57:30 | [1:16:23] [##----------------------]  12.2% | step   1080/8870 | ep 1 | masked | loss  3.761 | lr 4.87e-04 |  12.05M words |  3863 tok/s | ETA 9:10:59
2026-07-03 10:58:55 | [1:17:48] [##----------------------]  12.4% | step   1100/8870 | ep 1 | masked | loss  3.704 | lr 4.86e-04 |  12.27M words |  3863 tok/s | ETA 9:09:35
2026-07-03 11:00:20 | [1:19:12] [###---------------------]  12.6% | step   1120/8870 | ep 1 | masked | loss  3.873 | lr 4.86e-04 |  12.50M words |  3863 tok/s | ETA 9:08:07
2026-07-03 11:01:45 | [1:20:37] [###---------------------]  12.9% | step   1140/8870 | ep 1 | masked | loss  3.858 | lr 4.85e-04 |  12.72M words |  3864 tok/s | ETA 9:06:41
2026-07-03 11:03:09 | [1:22:02] [###---------------------]  13.1% | step   1160/8870 | ep 1 | masked | loss  3.701 | lr 4.84e-04 |  12.94M words |  3864 tok/s | ETA 9:05:15
2026-07-03 11:04:34 | [1:23:26] [###---------------------]  13.3% | step   1180/8870 | ep 1 | masked | loss  3.735 | lr 4.84e-04 |  13.17M words |  3864 tok/s | ETA 9:03:49
2026-07-03 11:05:59 | [1:24:52] [###---------------------]  13.5% | step   1200/8870 | ep 1 | causal | loss  4.565 | lr 4.83e-04 |  13.39M words |  3863 tok/s | ETA 9:02:27
2026-07-03 11:07:24 | [1:26:17] [###---------------------]  13.8% | step   1220/8870 | ep 1 | masked | loss  3.597 | lr 4.82e-04 |  13.61M words |  3863 tok/s | ETA 9:01:03
2026-07-03 11:08:48 | [1:27:41] [###---------------------]  14.0% | step   1240/8870 | ep 1 | masked | loss  3.748 | lr 4.82e-04 |  13.84M words |  3864 tok/s | ETA 8:59:34
2026-07-03 11:10:13 | [1:29:06] [###---------------------]  14.2% | step   1260/8870 | ep 1 | masked | loss  3.722 | lr 4.81e-04 |  14.06M words |  3864 tok/s | ETA 8:58:10
2026-07-03 11:11:39 | [1:30:31] [###---------------------]  14.4% | step   1280/8870 | ep 1 | masked | loss  3.788 | lr 4.80e-04 |  14.28M words |  3863 tok/s | ETA 8:56:47
2026-07-03 11:13:03 | [1:31:56] [###---------------------]  14.7% | step   1300/8870 | ep 1 | masked | loss  3.586 | lr 4.80e-04 |  14.51M words |  3863 tok/s | ETA 8:55:21
2026-07-03 11:14:28 | [1:33:21] [###---------------------]  14.9% | step   1320/8870 | ep 1 | masked | loss  3.697 | lr 4.79e-04 |  14.73M words |  3863 tok/s | ETA 8:53:56
2026-07-03 11:15:53 | [1:34:46] [###---------------------]  15.1% | step   1340/8870 | ep 1 | masked | loss  3.509 | lr 4.78e-04 |  14.95M words |  3863 tok/s | ETA 8:52:33
2026-07-03 11:17:19 | [1:36:11] [###---------------------]  15.3% | step   1360/8870 | ep 1 | masked | loss  3.784 | lr 4.77e-04 |  15.17M words |  3863 tok/s | ETA 8:51:10
2026-07-03 11:18:43 | [1:37:36] [###---------------------]  15.6% | step   1380/8870 | ep 1 | masked | loss  3.928 | lr 4.77e-04 |  15.40M words |  3863 tok/s | ETA 8:49:45
2026-07-03 11:20:08 | [1:39:00] [###---------------------]  15.8% | step   1400/8870 | ep 1 | masked | loss  3.859 | lr 4.76e-04 |  15.62M words |  3863 tok/s | ETA 8:48:19
2026-07-03 11:21:32 | [1:40:25] [###---------------------]  16.0% | step   1420/8870 | ep 1 | masked | loss  3.678 | lr 4.75e-04 |  15.84M words |  3863 tok/s | ETA 8:46:50
2026-07-03 11:22:55 | [1:41:47] [###---------------------]  16.2% | step   1440/8870 | ep 1 | masked | loss  3.628 | lr 4.74e-04 |  16.07M words |  3865 tok/s | ETA 8:45:15
2026-07-03 11:24:18 | [1:43:11] [###---------------------]  16.5% | step   1460/8870 | ep 1 | masked | loss  3.815 | lr 4.74e-04 |  16.29M words |  3866 tok/s | ETA 8:43:42
2026-07-03 11:25:41 | [1:44:34] [####--------------------]  16.7% | step   1480/8870 | ep 1 | masked | loss  3.636 | lr 4.73e-04 |  16.51M words |  3867 tok/s | ETA 8:42:08
2026-07-03 11:27:04 | [1:45:56] [####--------------------]  16.9% | step   1500/8870 | ep 1 | masked | loss  3.748 | lr 4.72e-04 |  16.74M words |  3868 tok/s | ETA 8:40:33
2026-07-03 11:28:27 | [1:47:20] [####--------------------]  17.1% | step   1520/8870 | ep 1 | masked | loss  3.628 | lr 4.71e-04 |  16.96M words |  3869 tok/s | ETA 8:39:01
2026-07-03 11:29:50 | [1:48:43] [####--------------------]  17.4% | step   1540/8870 | ep 1 | masked | loss  3.742 | lr 4.70e-04 |  17.18M words |  3870 tok/s | ETA 8:37:28
2026-07-03 11:31:14 | [1:50:06] [####--------------------]  17.6% | step   1560/8870 | ep 1 | masked | loss  3.532 | lr 4.69e-04 |  17.40M words |  3871 tok/s | ETA 8:35:57
2026-07-03 11:32:38 | [1:51:31] [####--------------------]  17.8% | step   1580/8870 | ep 1 | masked | loss  3.666 | lr 4.69e-04 |  17.63M words |  3870 tok/s | ETA 8:34:33
2026-07-03 11:34:07 | [1:53:00] [####--------------------]  18.0% | step   1600/8870 | ep 1 | masked | loss  3.460 | lr 4.68e-04 |  17.85M words |  3868 tok/s | ETA 8:33:27
2026-07-03 11:35:34 | [1:54:26] [####--------------------]  18.3% | step   1620/8870 | ep 1 | masked | loss  3.612 | lr 4.67e-04 |  18.07M words |  3867 tok/s | ETA 8:32:11
2026-07-03 11:36:57 | [1:55:50] [####--------------------]  18.5% | step   1640/8870 | ep 1 | masked | loss  3.548 | lr 4.66e-04 |  18.30M words |  3868 tok/s | ETA 8:30:40
2026-07-03 11:38:21 | [1:57:13] [####--------------------]  18.7% | step   1660/8870 | ep 1 | masked | loss  3.292 | lr 4.65e-04 |  18.52M words |  3868 tok/s | ETA 8:29:10
2026-07-03 11:39:46 | [1:58:39] [####--------------------]  18.9% | step   1680/8870 | ep 1 | masked | loss  3.420 | lr 4.64e-04 |  18.74M words |  3868 tok/s | ETA 8:27:48
2026-07-03 11:41:15 | [2:00:07] [####--------------------]  19.2% | step   1700/8870 | ep 1 | masked | loss  3.569 | lr 4.63e-04 |  18.97M words |  3866 tok/s | ETA 8:26:39
2026-07-03 11:42:40 | [2:01:32] [####--------------------]  19.4% | step   1720/8870 | ep 1 | masked | loss  3.573 | lr 4.62e-04 |  19.19M words |  3866 tok/s | ETA 8:25:15
2026-07-03 11:44:03 | [2:02:55] [####--------------------]  19.6% | step   1740/8870 | ep 1 | masked | loss  3.647 | lr 4.61e-04 |  19.41M words |  3867 tok/s | ETA 8:23:43
2026-07-03 11:45:26 | [2:04:18] [####--------------------]  19.8% | step   1760/8870 | ep 1 | masked | loss  3.809 | lr 4.60e-04 |  19.63M words |  3868 tok/s | ETA 8:22:12
2026-07-03 11:46:57 | [2:05:49] [####--------------------]  20.1% | step   1780/8870 | ep 2 | masked | loss  3.551 | lr 4.59e-04 |  19.87M words |  3866 tok/s | ETA 8:21:12
2026-07-03 11:47:49 |   >> saved checkpoint chck_20M at 20.00M words
2026-07-03 11:48:22 | [2:07:15] [####--------------------]  20.3% | step   1800/8870 | ep 2 | masked | loss  3.486 | lr 4.58e-04 |  20.09M words |  3866 tok/s | ETA 8:19:50
2026-07-03 11:49:50 | [2:08:42] [####--------------------]  20.5% | step   1820/8870 | ep 2 | causal | loss  4.391 | lr 4.57e-04 |  20.31M words |  3864 tok/s | ETA 8:18:34
2026-07-03 11:51:20 | [2:10:12] [####--------------------]  20.7% | step   1840/8870 | ep 2 | masked | loss  3.376 | lr 4.56e-04 |  20.54M words |  3862 tok/s | ETA 8:17:30
2026-07-03 11:52:51 | [2:11:44] [#####-------------------]  21.0% | step   1860/8870 | ep 2 | masked | loss  3.431 | lr 4.55e-04 |  20.76M words |  3859 tok/s | ETA 8:16:29
2026-07-03 11:54:25 | [2:13:18] [#####-------------------]  21.2% | step   1880/8870 | ep 2 | masked | loss  3.385 | lr 4.54e-04 |  20.98M words |  3854 tok/s | ETA 8:15:37
2026-07-03 11:55:59 | [2:14:51] [#####-------------------]  21.4% | step   1900/8870 | ep 2 | masked | loss  3.621 | lr 4.53e-04 |  21.20M words |  3850 tok/s | ETA 8:14:43
2026-07-03 11:57:29 | [2:16:22] [#####-------------------]  21.6% | step   1920/8870 | ep 2 | masked | loss  3.332 | lr 4.52e-04 |  21.43M words |  3847 tok/s | ETA 8:13:38
2026-07-03 11:58:59 | [2:17:52] [#####-------------------]  21.9% | step   1940/8870 | ep 2 | masked | loss  3.261 | lr 4.51e-04 |  21.65M words |  3845 tok/s | ETA 8:12:29
2026-07-03 12:00:25 | [2:19:17] [#####-------------------]  22.1% | step   1960/8870 | ep 2 | masked | loss  3.534 | lr 4.50e-04 |  21.87M words |  3845 tok/s | ETA 8:11:04
2026-07-03 12:01:49 | [2:20:41] [#####-------------------]  22.3% | step   1980/8870 | ep 2 | masked | loss  3.436 | lr 4.49e-04 |  22.10M words |  3846 tok/s | ETA 8:09:34
2026-07-03 12:03:12 | [2:22:05] [#####-------------------]  22.5% | step   2000/8870 | ep 2 | masked | loss  3.357 | lr 4.48e-04 |  22.32M words |  3846 tok/s | ETA 8:08:04
2026-07-03 12:04:36 | [2:23:29] [#####-------------------]  22.8% | step   2020/8870 | ep 2 | masked | loss  3.210 | lr 4.47e-04 |  22.54M words |  3847 tok/s | ETA 8:06:35
2026-07-03 12:06:00 | [2:24:53] [#####-------------------]  23.0% | step   2040/8870 | ep 2 | masked | loss  3.274 | lr 4.45e-04 |  22.77M words |  3848 tok/s | ETA 8:05:04
2026-07-03 12:07:24 | [2:26:16] [#####-------------------]  23.2% | step   2060/8870 | ep 2 | masked | loss  3.280 | lr 4.44e-04 |  22.99M words |  3848 tok/s | ETA 8:03:33
